ID,EN
5496,civil code
3057,civil defence
419,civil disobedience
1145,civil engineering
5783,civilian personnel
4696,civilian victim
5996,civilisation
523,civil law
3926,civil liability
5416,civil liability proceedings
2699,civil procedure
5414,civil proceedings
5850,civil register
583,civil rights
1047,civil servant
3573,civil servants’ union
1046,civil service
8462,Civil Service Tribunal
8428,civil society
884,civil status
7414,civil union
1211,civil war
5559,claim
4556,clandestine worker
6004,classification
1064,classified forest
1710,class struggle
434909,clean development mechanism
5466,cleaning industry
3638,clean technology
1918,clearing agreement
370,clearing of land
6009,clergy
6011,climate
5482,climate change
434743,climate change policy
4786,climatic zone
6384,climatology
1403,clock and watch industry
6171,cloning
6013,closing of accounts
4680,clothing
1397,clothing industry
c_433922a6,cloud computing
4566,clover
8513,Cluj
5386,coal
5260,coal by-products industry
3743,coal industry
5387,coal mining
3745,coalmining policy
3746,coal processing
2532,coastal pollution
3142,coastal protection
3043,coastal region
6018,cobalt
5078,cocoa
5815,codecision procedure
3482,code of conduct
6026,co-determination
5498,codification of EU law
6019,coding
5088,coffee
6025,co-financing
74,cohabitation
5643,Cohesion Fund
3244,co-insurance
6027,coke
3846,cold store
1214,cold war
c_68ddcc11,collaborative economy
4702,collective activities
194,collective agreement
2046,collective bargaining
1647,collective dismissal
983,collective farm
5685,collective interest
c_827bea7d,collective memory
c_0f3b8370,collective redress
639,collectivised economy
6032,collectivism
6036,Colombia
2392,Colombo Plan
5121,colonialism
5660,combat helicopter
5952,combat vehicle
5751,Combined Nomenclature
4506,combined transport
1140,combustion gases
5086,Comecon
5087,Comecon countries
c_25ddd844,comic book
5511,comitology
5322,commemoration
6766,commentary on a law
6062,commercial arbitration
4774,commercial bank
8425,commercial code
6366,commercial contract
3983,commercial court
3277,commercial education
577,commercial farming
524,commercial law
3012,commercial media
5268,commercial transaction
4658,commercial vehicle
24,commission agent
4124,Commission Delegation
16,Commission on Human Rights
763,commitment of expenditure
6049,committee (EU)
15,committee of inquiry
2895,committee report
5033,commodities exchange
1801,commodities market
4828,commodity agreement
2665,commodity price
2443,common agricultural policy
2450,common commercial policy
4381,common customs tariff
2455,common fisheries policy
5788,common foreign and security policy
437483,Common Frame of Reference
1054,common fund
4876,common land
c_7afb6cd4,common law
1792,common market
8400,Common Market for Eastern and Southern Africa
2173,common organisation of markets
2513,common ports policy
4065,common position
2456,common price policy
6709,common security and defence policy
8474,common strategy
2520,common tariff policy
2457,common transport policy
25,Commonwealth
5479,Commonwealth of Independent States
5010,common wheat
435136,communalism
1370,communications industry
7209,communication skills
2473,communications policy
3580,communications profession
4361,communications systems
32,Communism
2250,Communist Party
5411,Community acquis
5767,Community body
5051,Community budget
5481,Community certification
5484,Community Charter of the Fundamental Social Rights of Workers
